name,average_rating
Afrique du Sud,4.46
Allemagne,4.5
Argentine,4.42
Australie,4.46
Chili,4.43
Croatie,4.3
Espagne,4.44
France,4.45
Grece,4.4
Hongrie,4.47
Israel,4.5
Italie,4.43
Moldavie,4.48
Portugal,4.44
Roumanie,4.4
Suisse,4.35
Etats-Unis,4.49
